date,AABA,AAL,AAPL,ABMD,ACGL,ACWI,ADBE,ADI,ADP,ADSK,AGNC,AKAM,ALGN,ALKS,ALNY,ALXN,AMAT,AMD,AMGN,AMOV,AMTD,AMZN,ANSS,ASML,ATVI,AVGO,BIDU,BIIB,BMRN,CA,CDNS,CELG,CERN,CGNX,CHKP,CHRW,CINF,CMCSA,CME,COHR,COST,CPRT,CSCO,CSGP,CSX,CTAS,CTRP,CTSH,CTXS,DISCA,DISCB,DISCK,DISH,DLTR,DOX,DVY,EA,EBAY,EMB,EQIX,ESRX,ETFC,EWBC,EXEL,EXPD,EXPE,FAST,FFIV,FISV,FITB,FLEX,FOX,FOXA,FSLR,FTNT,GILD,GOOG,GOOGL,GRMN,GT,HAS,HOLX,HSIC,IAC,IBB,IBKR,IDXX,IEF,IEP,ILMN,INCY,INTC,INTU,IPGP,ISRG,JAZZ,JBHT,JKHY,KLAC,LBTYA,LBTYK,LKQ,LRCX,LULU,MAR,MBB,MCHP,MDLZ,MELI,MIDD,MKTX,MNST,MRVL,MSFT,MU,MXIM,MYL,NBIX,NDAQ,NDSN,NFLX,NKTR,NTAP,NTES,NTRS,NVDA,ODFL,OLED,ON,ORLY,OTEX,PAYX,PCAR,PEP,PFF,PFG,PPC,QCOM,QGEN,QQQ,REGN,ROST,RYAAY,SBAC,SBNY,SBUX,SCZ,SEIC,SGEN,SHPG,SHV,SHY,SINA,SIRI,SIVB,SNPS,STLD,STX,SWKS,SYMC,TMUS,TRMB,TROW,TSCO,TTWO,TXN,ULTA,VCIT,VCSH,VIAB,VOD,VRSK,VRSN,VRTX,WBA,WDC,WLTW,WYNN,XEL,XLNX,XRAY,ZION
2010-01-04,17.1,4.604906,20.696493,8.74,23.983334,36.197052,37.09,25.264259,29.744709,25.67,7.823872,25.92,18.5,9.71,18.139999,24.125,12.053715,9.7,49.779945,20.028259,16.883205,133.899994,44.639999,25.604145,10.275106,16.6665,41.002998,53.639999,18.950001,18.237764,6.12,27.870001,21.067499,3.785709,34.110001,49.371109,19.013794,6.434509,38.879429,29.274609,46.931873,9.1025,20.086552,42.25,13.039663,23.120003,18.125,23.192448,34.113712,15.840572,15.861539,13.395,18.995367,16.056667,26.573843,33.619911,18.15,10.058923,69.61731,94.417137,44.264999,18.4,14.07937,7.5,31.46331,35.19516,16.63958,53.98,12.3575,8.441316,7.36,13.221503,11.2726,135.460007,9.0,20.176031,311.349976,313.68869,21.795086,14.099552,25.707443,14.94,26.715,19.019421,27.183588,14.277407,27.040001,74.590317,23.166018,30.549999,9.5,15.997561,28.533104,17.370001,102.923332,8.24,30.280655,21.270855,23.484945,11.241696,10.965,9.845,37.889778,15.455,23.482698,85.127968,22.153448,15.122074,49.021591,16.653334,12.912868,6.546667,18.719749,25.031296,10.85,15.465802,18.719999,2.69,18.196247,28.515135,7.64,9.68,31.014482,37.768253,43.92263,17.132725,12.954255,12.681001,8.87,38.5,8.575498,22.826298,28.525425,48.141312,22.312742,19.881889,6.742386,38.292854,22.65712,42.439434,24.629999,8.82421,23.735353,35.169998,32.32,9.453863,29.461126,16.341301,10.54,57.138828,108.512939,78.737381,45.75,0.630495,42.98,22.440001,14.937895,13.185929,14.134518,13.280869,13.207044,12.825,42.882149,11.771089,10.4,21.172865,18.641415,55.740616,63.08849,25.116081,15.096508,29.85,21.007998,44.240002,31.356504,39.395649,64.185074,47.645069,15.420242,20.710161,33.716,12.709064
2010-01-05,17.23,5.126215,20.732279,8.53,23.903334,36.498978,37.700001,25.224375,29.584974,25.280001,7.797511,26.690001,18.01,9.69,18.01,23.780001,11.960995,9.71,49.348724,20.069435,16.798841,134.690002,43.639999,25.8036,10.293294,16.79022,40.59,53.380001,19.15,18.174297,6.06,27.545,22.3125,3.69597,33.82,48.347733,19.020969,6.347301,38.847641,29.225655,46.789684,9.1,19.997059,42.450001,13.383938,23.084961,19.137501,23.455101,34.1376,16.463976,16.441025,13.985,18.878777,15.853333,26.573843,33.476276,18.66,9.953704,70.040749,93.538132,43.459999,18.0,13.859932,7.38,31.678555,35.3451,16.984015,52.52,12.41,8.666531,7.29,13.164759,11.304969,137.399994,9.195,20.157393,309.978882,312.307312,21.84926,15.014737,25.423031,14.94,26.639999,19.436716,26.993748,13.955665,27.084999,74.917824,23.070467,30.35,10.27,15.989902,28.533104,17.07,102.459999,8.39,30.363094,20.931946,23.22414,11.231477,10.95,9.915,37.633247,15.915,23.618687,85.529221,21.804214,15.860813,50.271599,16.879999,12.448768,6.571667,19.075811,25.039383,11.17,15.254454,18.52,2.61,18.250187,28.478956,7.358572,9.66,30.470205,37.940521,43.864105,17.382906,13.23289,13.509759,8.79,38.560001,8.657912,22.811483,29.039677,48.723022,22.421591,20.351101,6.727268,39.214687,22.377153,42.439434,25.1,8.985443,23.455116,36.009998,32.0,9.675344,29.661545,16.368593,10.53,56.075733,108.473572,78.832123,46.209999,0.669295,42.580002,22.25,14.848053,12.927654,14.353879,13.208693,13.240186,12.76,43.362991,11.647509,10.47,21.050762,18.55241,56.111412,63.180344,25.166344,14.985839,30.049999,21.228777,42.779999,31.104319,40.440163,64.041222,50.542809,15.237365,20.449043,33.315186,13.157172
2010-01-06,17.17,4.91383,20.402502,8.4,23.799999,36.490582,37.619999,25.176512,29.515537,25.34,7.703775,26.469999,17.48,10.11,18.35,23.84,11.935708,9.57,48.977875,20.094139,16.503532,132.25,43.349998,26.039989,10.238736,16.922768,41.25,53.43,19.18,18.055305,6.13,28.195,22.547501,3.650058,34.0,47.707096,19.06402,6.301802,38.584202,29.108164,47.397957,9.0625,19.866894,42.5,13.426637,23.146288,18.7325,23.455101,34.002228,16.709249,16.938461,14.125,18.564878,16.783333,26.361183,33.521629,18.18,9.890573,70.136391,94.391304,43.325001,17.9,14.096924,7.36,30.943108,33.532177,18.104408,52.759998,12.3575,8.716577,7.27,13.359313,11.49109,140.020004,9.705,20.856331,302.164703,304.434448,21.686718,15.091001,25.399332,15.01,26.725,19.27907,27.199957,14.003924,27.15,74.615555,23.422829,32.220001,11.0,15.936275,28.134876,16.92,103.946663,8.69,30.179897,20.896275,23.13509,11.885539,11.555,9.9,37.462234,16.25,23.686676,85.529221,21.622005,15.971074,49.680511,17.116667,12.758167,6.708333,19.244938,24.885712,11.22,15.088403,18.34,2.53,18.241198,28.16242,7.617143,9.53,30.252497,37.985847,43.228634,17.494093,13.476141,14.148802,8.9,38.389999,8.65157,22.996645,29.421474,48.235638,22.554617,20.215908,6.689476,38.831272,22.617125,42.18346,24.719999,9.123933,23.701385,35.939999,31.870001,9.605619,29.757742,16.295807,10.82,56.343914,108.483414,78.84166,46.0,0.669295,42.93,22.209999,15.926126,12.836909,14.220354,13.252,12.345354,12.725,42.685074,11.62323,10.44,20.896095,19.007318,55.992775,63.364098,25.040682,14.868661,30.440001,20.999506,42.029999,30.868931,40.474983,65.072212,49.879833,15.266621,20.310322,33.534679,14.301275
2010-01-07,16.700001,5.058638,20.364788,8.4,23.66,36.314453,36.889999,24.977081,29.501642,25.48,7.665696,26.48,17.43,10.13,18.610001,23.93,11.809271,9.47,48.529411,20.328848,15.955102,130.0,43.459999,25.316038,9.993223,16.81673,40.463001,52.990002,20.26,18.142572,6.25,27.945,22.68,3.658406,33.919998,47.249504,19.135767,6.434509,38.631901,28.599039,47.168865,9.01,19.956383,42.419998,13.333226,23.347788,18.2775,22.568037,33.970379,16.69903,16.938461,14.255,18.645596,16.673334,25.963594,33.559429,18.040001,9.776936,69.774384,92.460907,44.334999,18.0,14.790361,7.33,30.754755,33.354969,18.413206,52.23,12.3,9.242075,7.23,13.253932,11.329245,140.479996,9.725,20.907589,295.130463,297.347351,21.788305,14.881271,25.035915,14.99,26.82,19.371801,27.186861,14.092402,28.18,74.615555,24.28878,32.77,10.82,15.783041,28.042269,17.200001,103.556664,8.39,30.298975,20.878437,23.262312,11.885539,11.59,9.92,37.395729,16.155001,23.780159,85.392815,21.508129,15.93248,48.701828,16.946667,12.849165,6.681667,18.799862,24.626907,10.84,15.005373,18.030001,2.6,17.998459,28.501564,7.485714,9.57,30.17993,36.771034,43.638351,17.151255,12.825998,14.128832,8.89,38.27,8.5607,23.359558,29.811068,47.929054,22.621132,20.390863,6.583653,39.957047,22.717112,42.210884,24.57,9.498067,23.259798,36.450001,32.169998,9.581012,29.781803,16.559669,10.76,56.899403,108.483414,78.822701,45.139999,0.649895,44.689999,22.15,15.819958,12.592597,14.058218,13.223126,12.461351,12.745,42.653549,11.782123,10.39,20.961216,20.629171,56.170742,63.322323,25.300392,14.588732,30.389999,20.710794,41.5,31.053856,39.682892,64.880394,50.945057,15.200785,20.106319,33.973656,15.903013
2010-01-08,16.700001,4.9621,20.500179,8.23,23.613333,36.540897,36.689999,25.120672,29.459967,26.26,7.762361,26.48,17.66,10.01,18.68,23.975,12.264446,9.43,48.960621,20.38238,15.83698,133.520004,43.759998,24.710289,9.911387,16.940447,40.426998,54.080002,20.25,18.332962,6.34,28.635,22.6325,3.66258,33.59,47.881809,19.071192,6.41555,39.664036,28.373852,46.829178,9.0375,20.062143,42.34,13.979074,23.575569,18.195,23.222185,34.894093,16.750128,16.938461,14.455,18.97743,16.443333,26.34269,33.612366,18.4,9.894781,69.856339,92.012787,45.825001,18.0,14.37781,7.31,31.077641,33.041466,18.599277,52.959999,12.1625,9.250414,7.26,13.310676,11.426353,139.679993,10.055,20.753826,299.06488,301.31131,22.885517,15.195865,25.099123,14.97,26.98,19.492357,27.402891,13.883269,27.955,74.707893,24.945721,33.150002,10.94,15.95926,28.783152,17.34,102.986664,8.26,31.178272,20.691143,23.612167,12.233009,11.92,10.07,38.336323,16.135,23.831156,85.513214,21.637186,15.949023,48.944077,16.166666,13.267766,6.715,19.013493,24.796747,11.1,15.09595,17.42,2.52,18.187252,28.827148,7.614286,9.39,30.424852,36.08202,43.830654,17.188318,13.002907,14.218698,8.89,37.93,8.634665,23.374363,29.850019,47.771832,22.615078,20.414724,6.508065,40.356789,22.617125,42.558292,24.370001,9.314101,23.353209,36.490002,32.25,9.5482,30.046347,16.61426,10.82,56.592922,108.522804,78.89856,44.91,0.649895,47.59,22.309999,16.489672,12.487886,14.306193,13.259218,11.765371,12.845,42.488014,11.7755,10.42,21.44149,21.370872,56.230072,63.372463,25.166344,14.367396,30.0,20.872135,40.669998,31.095915,39.88308,64.808495,50.580059,15.208099,20.400082,33.973656,15.645594
2010-01-11,16.74,4.865561,20.319336,8.08,23.540001,36.77573,36.209999,24.977081,29.591923,26.25,7.902961,26.389999,17.540001,10.31,18.719999,23.83,12.534176,9.14,49.176235,20.374146,15.870727,130.309998,43.93,24.185795,9.902295,17.046488,40.056999,53.900002,20.110001,18.301235,6.34,28.635,22.174999,3.64171,33.68,48.023247,19.214697,6.373841,39.656082,28.197615,46.884483,9.0025,20.005198,42.360001,13.840296,23.479198,18.41,23.033869,33.835007,16.69392,16.871796,14.365,19.040211,16.353333,26.647812,33.733303,18.27,9.869529,70.389099,92.771156,45.115002,17.799999,13.789709,7.16,31.203213,32.755215,18.235054,52.450001,12.2275,9.342167,7.14,13.351205,11.393985,138.240005,10.025,20.916908,298.612823,300.855865,23.224159,15.186333,25.075417,14.94,27.870001,19.650003,27.546915,13.714354,28.885,74.758278,25.405581,33.82,11.09,16.051203,28.912802,17.02,103.763336,8.34,31.636236,20.530609,23.510386,12.105263,11.815,10.27,39.362427,15.905,23.780159,85.473053,21.606819,15.877354,44.234745,15.846666,13.213165,6.715,18.87108,24.481335,10.9,14.967633,17.77,2.53,18.232214,28.691486,7.604286,9.5,29.880575,35.365818,42.676788,16.947405,12.92772,13.779357,8.97,38.130001,8.579722,23.515083,30.340902,47.716812,22.742065,20.510159,6.273745,40.209953,22.727112,42.384586,24.84,9.359575,23.06448,36.740002,31.690001,9.519488,30.358984,16.714348,10.6,57.474045,108.522804,78.936432,45.869999,0.669295,47.209999,22.120001,15.975129,12.80899,14.315729,13.252,11.914511,12.74,42.787556,11.680609,10.68,21.164724,21.044525,56.207836,63.430954,25.283632,14.575714,29.93,20.812695,41.830002,31.146347,39.926609,65.455849,50.416168,15.354403,20.187918,34.412659,15.740933
2010-01-12,16.68,4.904177,20.088202,7.89,23.606667,36.314453,35.66,23.940025,29.383579,25.889999,7.873667,26.16,17.23,10.3,18.0,23.5,11.969422,8.65,48.322418,20.588259,15.701981,127.349998,42.740002,24.222731,9.793178,16.79022,38.648998,53.25,19.719999,18.047377,6.2,28.495001,21.754999,3.608319,33.75,47.415901,19.178822,6.260091,38.852177,28.13887,46.631687,8.9375,19.687908,41.720001,13.533388,23.163811,17.700001,23.390676,33.444817,16.249361,16.410257,13.98,18.224072,16.546667,26.472139,33.650154,16.85,9.760101,70.402733,89.013771,44.584999,17.299999,13.596599,7.07,30.934139,31.732889,18.231094,51.02,12.12,9.167002,7.04,12.881036,10.884169,132.979996,9.895,20.944866,293.332153,295.535522,22.899057,14.766873,24.680412,14.92,27.48,19.455261,27.461809,13.593699,28.84,75.295784,26.187931,39.169998,10.36,15.7907,28.912802,16.77,101.463333,8.51,30.876007,20.441425,22.689817,11.83444,11.555,10.19,36.806671,15.675,23.576191,85.818199,21.250002,16.14749,43.6049,15.486667,13.231366,6.663333,18.123354,24.319574,10.26,14.356254,17.41,2.52,17.917547,28.053894,7.481429,9.7,29.436089,34.785599,42.601528,16.372917,12.861378,13.340013,8.49,38.849998,8.465609,23.433615,30.25518,48.385002,22.754168,20.160234,6.175482,39.557304,22.547132,41.854317,24.51,9.394714,22.937098,35.330002,31.450001,9.35953,29.958162,17.105591,10.32,57.26334,108.512939,79.0028,44.57,0.659595,46.380001,21.799999,15.583103,12.369223,14.029605,13.331398,10.522551,12.54,43.031925,11.685022,10.19,20.277428,20.906073,56.489643,63.439293,24.697201,14.556184,30.16,20.532475,41.790001,30.885742,38.899506,65.623695,50.63966,15.537276,19.624876,34.164524,15.302361
2010-01-13,16.9,5.290331,20.371561,7.96,23.733334,36.616386,36.279999,23.932047,29.598864,26.25,7.864883,26.040001,17.58,10.85,18.5,23.57,12.028425,9.15,48.753635,20.538851,15.448855,129.110001,43.040001,24.894966,9.920479,16.27767,43.948002,54.080002,20.290001,18.372625,6.39,28.84,22.0875,3.625015,33.860001,47.690456,19.351017,6.358675,38.972549,28.23678,46.923973,8.8675,20.045872,41.52,13.616119,23.523008,17.5425,24.173668,33.835007,16.346449,16.358974,13.955,18.376539,16.466667,25.769421,33.899639,17.17,9.93266,70.245644,88.832787,45.049999,17.4,14.009152,7.16,31.221151,32.128178,18.484467,52.389999,12.2225,9.609088,7.25,12.808079,10.795153,132.119995,9.72,21.205801,291.648102,293.838837,23.481525,14.128151,25.035915,15.17,28.205,20.169304,27.782578,13.577613,29.575001,74.934639,26.492514,40.509998,10.33,16.058863,29.246202,16.9,102.013336,9.27,31.013395,20.735741,22.956982,11.85999,11.56,10.14,36.920685,16.16,23.907648,85.657677,21.432209,16.114408,43.827759,15.553333,13.185866,6.76,18.417103,24.546034,10.46,14.597782,17.809999,2.55,18.08836,28.221205,7.708571,11.01,30.597198,34.767471,43.103214,16.595297,12.932142,13.559684,8.59,38.98,8.55436,23.448423,30.387648,48.778049,22.899277,20.303387,6.402244,39.728626,23.507011,42.375443,24.65,9.493933,22.843685,36.279999,31.629999,9.589214,30.294857,17.360355,10.66,57.541084,108.503113,78.936432,45.119999,0.649895,46.470001,22.01,15.338092,12.697306,14.353879,13.490193,10.489408,12.675,43.457588,11.760053,10.36,20.366976,21.074192,56.319073,63.430954,24.85638,14.731952,30.15,20.719286,42.720001,31.171566,39.569736,65.76754,51.697441,15.778678,19.796238,34.641689,15.588387
2010-01-14,17.120001,5.396525,20.253574,8.25,23.700001,36.69186,35.900002,23.908112,29.515537,26.6,7.806298,26.879999,17.129999,11.06,18.4,23.834999,12.095861,9.0,48.434536,19.587669,15.372917,127.349998,43.490002,24.725063,9.875014,16.286514,46.423,54.360001,20.42,18.610607,6.32,29.065001,22.049999,3.647971,34.099998,47.940056,19.394073,6.320757,38.804485,28.638205,46.386803,8.935,20.298073,42.490002,13.490687,23.374069,18.334999,23.841639,34.296864,16.213593,16.358974,13.9,18.107483,16.416666,26.28721,33.982803,17.18,9.62963,69.876846,89.72905,45.474998,17.299999,14.553364,7.14,31.131458,31.433002,18.330067,52.139999,12.1875,9.817619,7.22,12.832398,10.876076,124.839996,9.95,21.182505,293.019196,295.220215,23.833717,14.480878,25.296629,15.31,28.07,20.076571,27.857864,13.497177,29.815001,75.287354,27.041958,39.029999,10.16,16.45727,29.431423,16.6,102.666664,10.01,31.78278,20.896275,22.263622,11.773122,11.51,10.01,36.426632,15.93,25.233488,85.753983,21.280367,16.053768,41.880085,15.56,13.222263,6.753334,18.158957,25.039383,10.73,14.54495,17.870001,2.53,18.205235,28.252863,7.284286,11.82,30.524633,35.483673,42.894176,16.335852,12.901184,13.609609,8.51,38.790001,8.919954,23.218832,30.333109,49.367641,22.996029,20.398819,6.455154,39.459408,23.347031,42.412018,24.620001,9.425721,23.183369,36.41,32.049999,9.658937,30.439159,17.888079,10.67,58.364735,108.503113,79.01226,45.43,0.659595,46.77,22.190001,15.052236,12.80201,14.62093,13.555147,10.323699,12.675,43.189583,11.660747,10.15,20.114626,20.21382,56.437771,63.589622,25.1077,14.647323,29.91,20.659845,41.299999,31.196787,39.839565,65.623695,53.716175,15.807939,19.673836,34.899349,15.931616
2010-01-15,16.82,5.309639,19.915094,8.05,23.656666,36.33123,35.869999,23.1024,29.355803,26.08,7.718423,26.610001,16.93,10.8,17.6,23.705,11.573252,8.84,48.512157,19.171789,15.457292,127.139999,43.34,24.178406,9.902295,16.118608,46.768002,54.18,20.809999,18.475744,6.22,28.76,21.76,3.562407,34.41,48.023247,19.2721,6.305589,38.292408,28.393433,46.442104,8.7925,19.850616,41.419998,13.354579,22.98859,18.1875,23.74748,34.416309,16.571283,16.610256,14.215,17.856363,16.456667,26.324194,33.703087,17.030001,9.45707,69.835876,87.996849,45.02,18.4,14.254925,6.78,30.916197,30.983189,18.15587,51.389999,11.985,9.475626,7.08,12.589205,10.673767,124.07,9.815,21.210459,288.126007,290.290283,23.793079,14.318814,25.407236,15.38,27.799999,19.779825,27.563276,13.183474,29.549999,75.623276,27.018072,39.02,9.86,15.936275,29.135067,15.3,102.860001,10.05,31.159956,20.691143,21.207695,11.624936,11.355,9.995,34.982483,15.57,24.902035,85.930534,20.794483,16.307364,40.843258,15.553333,13.003868,6.741667,17.429043,24.958502,10.13,14.076973,18.200001,2.46,18.124327,27.75997,7.278572,11.97,30.071068,33.824627,43.103214,15.854028,12.569476,13.020493,7.99,38.209999,8.784704,22.715195,29.608475,48.966728,22.989988,20.088661,6.644123,39.589943,23.477015,41.918312,23.879999,9.276894,22.648369,36.650002,31.969999,9.544098,30.158575,17.878977,10.3,56.947281,108.493286,79.078568,44.73,0.649895,45.990002,21.969999,14.709214,12.404128,14.096369,13.605677,10.472838,12.275,42.251526,11.574684,10.08,19.94368,20.124815,56.519325,63.664776,24.67207,14.380419,28.950001,20.362644,40.209999,30.768055,38.281502,64.856438,52.516842,15.661637,19.192398,34.307671,15.502577
