date,AAXJ,ACWI,ACWX,AIA,AMRN,ANCX,ANIP,ARRY,BBH,BLDP,CALD,CIU,CRED,CSJ,DVY,EMB,FEX,FMBH,FNX,FOLD,FRBK,FTA,FTC,FTCS,FYX,GDEN,IBB,IEF,IEI,IFGL,IGF,IGOV,IJT,IMMU,INDY,INSY,IUSG,IUSV,LGND,MB,MBB,NYNY,OMER,OSTK,PDP,PEY,PFF,PHO,PID,PKW,PNQI,PRFZ,PRTK,QCRH,QQEW,QQQ,QTEC,RDNT,RILY,SCMP,SCZ,SHV,SHY,SOXX,STAA,TLT,USAT,VCIT,VCLT,VGIT,VGLT,VGSH,VMBS,VNDA,WINA
2010-01-04,49.907131,36.533562,34.548542,34.686218,1.38,4.628188,55.799999,2.8,29.339437,1.94,3.17,81.639313,76.311043,92.041321,34.168217,70.249268,21.309338,13.889971,24.69294,3.84,4.54,20.214849,22.258104,18.152487,23.103388,4.547846,27.215487,75.072548,98.896713,18.897089,26.899256,45.459381,54.10688,3.42,25.129316,6.506667,18.062691,19.944967,13.02,0.44383,85.740112,34.5,7.29,13.71,18.331175,5.77351,22.628668,16.414454,11.042982,19.437975,26.226162,47.018028,19.530123,7.869715,18.991076,42.597183,20.163591,2.12,69.69812,4.33,29.811611,108.825302,79.077194,45.629875,3.14,70.976509,1.62,56.373211,51.229271,50.387775,45.175556,56.668633,41.866302,11.67,18.845499
2010-01-05,50.465832,36.838295,34.671757,34.830357,1.33,4.565857,55.799999,2.76,29.196444,1.92,3.22,81.734245,76.552628,92.244835,34.022228,70.676575,21.345751,13.889971,24.777603,3.79,4.76,20.214849,22.419123,18.178801,23.04627,4.425873,27.025419,75.402184,99.210709,19.037783,27.021732,45.503208,54.19038,3.29,25.292807,5.896667,18.062691,20.049131,12.54,0.44383,86.144249,33.900002,6.96,13.81,18.447378,5.706634,22.73905,16.414454,11.073957,19.549309,26.316116,47.182446,19.325771,7.926947,19.019478,42.597183,20.144886,2.1,72.08255,4.27,30.014412,108.785805,79.172386,45.556614,3.16,71.434853,1.65,56.748257,51.865459,50.644417,45.553604,56.78244,41.958965,11.28,18.725512
2010-01-06,50.422176,36.82983,34.794968,35.008396,1.48,4.4334,55.799999,2.59,29.461575,1.94,3.12,81.718422,76.288368,92.244835,34.068329,70.773071,21.436775,13.889971,24.871674,3.73,4.66,20.320591,22.45701,18.170031,23.027235,4.391024,27.231869,75.0979,99.076141,18.980227,27.11359,45.340965,54.079037,3.21,25.465916,6.1,18.027508,20.114235,12.3,0.46232,86.144249,34.5,6.85,13.2,18.437695,5.721496,22.873957,16.490751,11.073957,19.540028,26.036263,47.145916,19.880438,7.946026,18.981609,42.340248,20.051363,2.04,72.08255,4.09,30.111752,108.795685,79.181908,45.419258,3.11,70.478615,1.6,56.628246,51.540436,50.533207,45.199192,56.744484,41.958965,10.99,18.93976
2010-01-07,50.177753,36.652061,34.548542,34.694683,1.4,4.519108,57.599998,2.59,29.3871,1.98,3.17,81.757927,76.628105,92.26252,34.106739,70.407799,21.482288,14.475694,24.993963,3.77,4.85,20.391096,22.485424,18.170031,23.217621,4.478148,27.218761,75.0979,99.040268,18.839537,27.12125,45.196259,54.329575,3.27,25.542852,6.303333,18.067091,20.262671,12.6,0.46232,86.006882,36.299999,6.78,13.24,18.486113,5.788372,22.94141,16.691048,11.081703,19.66993,25.726427,47.620941,20.727034,8.012798,18.972149,42.367779,19.883018,2.08,63.278564,4.21,30.136087,108.795685,79.162857,45.062126,3.12,70.597137,1.6,56.808247,51.540436,50.541759,45.088943,56.753948,41.975815,10.94,18.93976
2010-01-08,50.378532,36.880615,34.811409,34.957527,1.34,4.558064,57.599998,2.52,29.616476,2.32,3.28,81.876595,76.786621,92.377518,34.16053,70.490509,21.582418,14.475694,25.06921,3.78,4.94,20.452776,22.570667,18.161255,23.293772,4.408449,27.435045,75.190895,99.183807,18.954645,27.304964,45.533909,54.431644,4.05,25.427448,6.303333,18.128658,20.317356,12.24,0.46232,86.128098,35.400002,6.83,13.1,18.621681,5.7958,22.935282,16.881805,11.166885,19.679205,25.896338,47.986324,21.281702,7.984183,19.104685,42.71648,20.098124,2.11,62.728313,4.13,30.403786,108.835197,79.238998,45.739758,3.09,70.565567,1.68,56.868256,51.57502,50.601631,45.010178,56.801388,41.975815,10.89,18.579823
2010-01-11,50.614235,37.11763,35.115318,34.889698,1.34,4.682729,63.0,2.73,29.747549,2.2,3.24,81.955666,76.477081,92.457123,34.283474,71.028084,21.61883,14.475694,25.125656,4.1,4.92,20.488022,22.580147,18.222675,23.255695,4.408449,27.579233,75.241592,99.291458,19.076155,27.473368,45.862823,54.348141,3.91,25.456297,6.1,18.146255,20.366835,12.42,0.46232,86.087639,34.950001,6.78,13.27,18.670103,5.7958,23.064056,16.834108,11.228841,19.799822,25.806385,48.059418,21.194124,8.747305,19.161489,42.542133,20.070063,2.11,62.728313,4.21,30.720152,108.835197,79.277054,45.602386,3.2,70.178322,1.65,56.845757,51.568119,50.618755,45.002285,56.858265,42.009518,10.85,19.119728
2010-01-12,50.12537,36.652061,34.721046,34.423367,1.4,4.682729,61.200001,2.62,29.482424,2.27,3.22,82.20874,76.854576,92.483734,34.198948,71.041878,21.345751,14.475694,24.749378,3.96,4.81,20.355846,22.172863,18.073519,22.998674,4.321325,27.494034,75.782539,99.722038,18.813953,27.098286,45.968063,53.754272,4.14,25.004299,6.1,18.018711,20.109024,11.94,0.46232,86.435295,35.099998,6.63,12.82,18.360224,5.766079,23.076326,16.681505,11.128166,19.57715,25.236685,47.301201,21.573631,8.079574,18.85854,42.009895,19.677267,2.06,62.728313,4.21,30.314556,108.825302,79.343719,44.009071,3.21,71.379562,1.71,57.130772,51.810139,50.81551,45.45121,56.829815,42.135849,10.52,19.068314
2010-01-13,49.968246,36.956791,34.934608,34.313141,1.41,4.487942,60.84,2.67,29.777336,2.29,3.29,82.121712,76.575249,92.368698,34.452507,70.883377,21.564215,14.475694,25.144466,3.87,4.92,20.514458,22.466476,18.31918,23.274736,4.547846,27.815174,75.419106,99.390099,18.852324,27.243727,45.92421,54.413086,4.2,25.41783,6.1,18.159445,20.312149,12.36,0.46232,86.273605,34.049999,6.67,12.94,18.582947,5.818093,23.223511,16.738735,11.236583,19.707041,25.756411,47.922394,23.996653,7.99372,19.152018,42.532948,20.013954,2.06,62.728313,4.06,30.655264,108.815414,79.277054,44.521854,3.17,70.549736,1.66,56.958237,51.492039,50.695744,45.183445,56.848797,42.093727,10.61,19.111162
2010-01-14,50.011894,37.032974,35.03318,34.525108,1.42,4.542482,63.0,2.56,29.735636,2.34,3.29,82.264061,76.990456,92.474876,34.537018,70.511192,21.591516,14.475694,25.135061,3.83,4.81,20.496834,22.504366,18.354275,23.417526,4.669819,27.890553,75.774086,99.632332,18.750008,27.366203,45.9944,54.570839,4.22,25.485147,6.1,18.212219,20.369438,12.0,0.46232,86.370621,33.900002,6.7,12.7,18.602314,5.855246,23.321625,16.710123,11.314025,19.799822,25.856359,48.196434,23.967459,9.128869,19.133083,42.569653,20.051363,2.04,62.728313,4.05,30.801279,108.815414,79.353226,44.439453,3.41,71.537651,1.6,57.078236,51.844727,50.832607,45.33308,56.896202,42.076897,10.65,19.068314
2010-01-15,49.63652,36.669003,34.540337,34.279232,1.42,4.612606,62.639999,2.52,29.640306,2.32,3.2,82.18499,77.111252,92.527939,34.252735,70.469826,21.345751,14.475694,24.834044,3.91,4.75,20.355846,22.191805,18.205128,23.141464,4.425873,27.595617,76.11219,99.901466,18.577345,26.991112,45.783882,53.819221,3.98,25.071619,6.71,18.040701,20.106422,11.52,0.54554,86.548424,33.299999,6.69,12.68,18.360224,5.80901,23.3155,16.481215,11.205607,19.595703,25.446573,47.602657,23.47118,9.186102,18.868008,42.074135,19.695974,2.05,66.029816,3.85,30.517357,108.805557,79.419868,42.99263,3.45,71.980209,1.66,57.160748,51.969204,50.986603,45.90802,56.943607,42.236938,10.44,18.948334
