date,A,AA,AAN,AAP,AAV,AB,ABB,ABM,ABT,ACCO,ACM,ACN,ADC,ADS,ADX,AED,AEG,AEH,AEM,AER,AET,AFB,AFL,AGC,AGCO,AGI,AGN,AHC,AIN,AIR,AJRD,AKP,AKR,AKS,ALB,ALE,ALG,ALK,ALL,ALX,AMG,ANF,ANW,AOI,APD,AQN,ARE,ASX,ATI,ATU,ATV,AVK,AWF,AYI,AYR,DDD,EGHT,GCH,JEQ,LCM,LNT,MMM,NCV,NFJ,NIE,PEO,SGF,Y
2010-01-04,21.129234,37.018936,14.37711,39.555584,6.83,15.86832,15.094178,17.692715,21.194162,7.9,28.15,35.052402,14.892627,65.143013,6.547715,10.608377,5.105653,10.841578,51.042549,9.1,30.268322,8.329764,38.925758,4.049763,31.595127,11.504071,39.233837,2.928743,19.874817,21.837652,7.25,8.161193,12.794354,21.772085,33.762466,23.789871,16.891104,8.219565,25.493008,168.171158,68.553253,27.99967,26.926874,51.0,62.755848,3.297559,49.897579,3.380298,41.265785,18.634752,28.780985,8.594759,6.379318,34.286037,7.270612,3.883333,1.55,11.046701,4.623882,5.166943,10.73659,68.011421,3.5625,7.019823,9.374832,15.201551,8.341266,263.408295
2010-01-05,20.899715,35.862801,14.507394,39.320488,7.12,15.851552,15.194088,17.562889,21.022924,7.68,28.459999,35.269032,14.792213,65.271538,6.560493,11.015721,5.143031,11.319972,51.669109,9.7,29.837227,8.311198,40.054996,4.098383,31.719481,11.364462,38.84433,2.899457,19.608789,22.260258,7.24,8.116562,12.718918,21.953917,33.700417,23.421768,16.495005,8.669789,25.912161,167.171402,69.100639,28.286844,30.645479,57.200001,62.235146,3.33909,49.37151,3.467531,41.719639,18.723583,28.722128,8.65437,6.42714,34.571514,7.054099,3.876667,1.57,11.218089,4.632542,5.231879,10.98776,67.585449,3.596974,7.095507,9.442442,15.295076,8.504573,263.312195
2010-01-06,20.825462,37.730419,14.507394,39.663349,7.27,15.857143,15.370851,17.562889,21.139675,7.9,29.190001,35.643974,14.597664,65.597809,6.586043,10.986625,5.120604,11.337913,52.931339,9.77,29.717999,8.311198,40.406845,4.166445,31.556868,11.783298,38.970917,2.850644,19.188295,23.381081,7.14,8.148447,12.673655,23.064053,33.762466,23.558905,16.051741,8.591999,25.920546,168.081802,70.454193,28.885136,31.287281,57.299999,61.721954,3.297559,49.112404,3.438453,42.732082,18.832153,30.134693,8.71398,6.479743,35.066334,6.95632,3.92,1.6,11.428429,4.710472,5.250431,11.072662,68.5439,3.673589,7.199574,9.453709,15.432261,8.448044,263.398682
2010-01-07,20.798458,36.930008,14.624655,39.653542,7.11,15.86832,15.501504,17.789024,21.3148,8.11,30.17,35.610645,14.660425,66.200897,6.592433,11.004084,5.24021,11.40369,52.440971,10.51,30.662729,8.317386,40.840546,4.23937,31.939491,11.773992,38.659306,2.733493,19.265535,23.74856,7.17,8.186702,12.83962,22.556835,33.52314,23.472292,16.136621,8.547215,26.054676,171.092133,70.135712,26.061235,31.995131,56.0,61.367287,3.289253,49.567802,3.685615,43.343037,19.118389,30.605549,8.768172,6.503656,36.160679,7.24966,4.053333,1.63,11.155766,4.658518,5.292173,11.132803,68.593048,3.719554,7.251607,9.48751,15.394853,8.416639,261.418671
2010-01-08,20.791712,37.841579,14.526938,39.810265,7.29,16.354425,15.939572,17.772274,21.423773,8.08,30.48,35.469002,14.516078,66.912735,6.592433,11.10301,5.412143,11.457509,53.92112,10.76,29.993162,8.373085,40.431412,4.283124,34.139565,11.904296,38.376904,2.743256,19.540138,23.371891,7.11,8.212204,12.598219,24.662268,34.02837,23.262972,16.098894,8.377498,26.163662,170.723557,69.488785,26.787151,32.023453,54.799999,61.759727,3.347397,49.402927,3.62019,44.35548,19.41449,34.078098,8.844035,6.570601,36.293892,7.326487,4.076667,1.6,11.194717,4.745108,5.32928,11.348595,69.076401,3.719554,7.322562,9.464977,15.426024,8.498292,259.928864
2010-01-11,20.805208,38.79763,14.75494,39.418449,7.22,16.695257,15.739754,17.730396,21.532736,8.26,29.99,35.435677,14.522348,66.981934,6.617985,11.399789,5.359816,11.732588,54.030102,10.61,30.029846,8.428782,41.495182,4.336602,35.258759,12.388287,38.72747,2.777425,19.042414,23.105467,7.01,8.186702,12.688744,23.839239,33.877693,23.21245,16.447847,8.325636,26.163662,162.921265,69.956558,25.909674,31.051321,55.5,62.891678,3.488601,49.662029,3.562035,44.468945,19.49345,34.078098,8.898232,6.647115,36.408092,7.689668,4.11,1.55,11.249249,4.771085,5.380301,11.32383,68.797844,3.7502,7.317832,9.493145,15.401085,8.441762,261.745483
2010-01-12,20.555439,34.506546,14.787511,38.73275,7.0,16.577919,15.432337,17.537767,21.470472,8.0,29.620001,35.210705,14.553734,65.884521,6.541328,11.382331,5.329914,11.714648,52.295685,10.57,28.076166,8.489773,41.282425,4.278262,33.709126,12.11837,38.67878,2.699325,18.381634,22.73798,6.56,8.209788,12.590672,24.021069,33.407902,23.169146,16.315811,8.511858,26.138506,167.953323,69.439034,25.853827,30.636042,54.700001,62.091743,3.430458,49.732689,3.503879,41.728367,18.950596,31.547256,8.844035,6.637481,36.636471,7.591888,4.156667,1.45,11.132396,4.745108,5.310728,11.327367,68.855202,3.723138,7.246877,9.414269,15.157909,8.385233,258.842743
2010-01-13,20.717455,35.529297,14.807056,39.271503,7.15,16.069468,15.493818,17.554516,21.67432,8.04,29.690001,35.610645,14.748282,65.864761,6.592433,11.347413,5.36729,11.660829,53.303642,10.76,28.204578,8.483548,41.732483,4.251812,33.871735,12.574437,39.818115,2.689563,18.381634,22.572622,6.45,8.17772,13.126282,24.068918,33.744732,23.450638,16.495005,8.801795,26.37323,170.204102,70.185471,26.212799,30.098074,55.099998,62.71056,3.471989,49.866173,3.511147,41.719639,18.901243,31.959255,8.851666,6.632666,37.036148,7.906178,4.26,1.5,11.03112,4.80572,5.296812,11.433493,68.634018,3.672877,7.261068,9.470612,15.238965,8.385233,261.860809
2010-01-14,21.027977,35.151314,15.17837,38.752331,7.11,16.466177,15.555303,17.479149,21.697838,8.12,29.42,35.927254,14.754558,65.93396,6.63076,11.370693,5.337389,11.660829,53.067543,10.88,28.809944,8.452428,42.280743,4.281202,33.450859,12.611667,40.022598,2.777425,18.433121,22.903351,6.52,8.152063,13.005579,23.705256,33.611774,23.364025,16.703199,8.815936,26.524132,169.528336,68.89164,26.300549,29.918755,55.900002,61.933277,3.57997,49.850479,3.525687,40.7421,19.029558,32.371254,8.857121,6.685648,36.940666,7.829352,4.233333,1.39,10.968799,4.883651,5.35711,11.560849,68.40461,3.657411,7.303641,9.510048,15.282619,8.391514,260.42868
2010-01-15,20.541937,34.751102,14.800537,38.507431,7.03,16.203568,15.401593,17.160885,21.75272,8.14,28.9,35.668976,14.534907,64.895859,6.554104,11.341598,5.195358,11.642888,52.159462,10.77,28.764076,8.446204,41.822487,4.281202,33.077797,12.136983,39.82785,2.787188,18.038372,22.7288,6.37,8.203372,12.930143,22.642967,33.585182,22.95261,16.797838,8.500072,25.912161,168.098572,67.438568,25.989443,30.17358,56.900002,62.461525,3.679644,49.238037,3.416645,39.895493,18.733454,31.959255,8.78626,6.647115,36.27232,7.38236,4.09,1.37,10.828573,4.874991,5.347832,11.571463,68.298149,3.661279,7.270528,9.453709,15.139201,8.347546,257.593231
